after,distnoab,timetorecid,traffcoc,ban,age,black,male,totalyearssentenced,prioroffensenumber,countoffenses,anyrecid,finrecidany,nonfinrecidany
1,236,398,1,1,34,0,1,2,1,1,1,1,0
1,3691,,0,1,43,0,1,1.4931507,0,1,0,0,0
1,3295,,0,1,22,1,0,2.4931507,0,1,0,0,0
1,2121,,1,1,46,1,1,6.4931507,3,1,0,0,0
1,5648,,1,1,31,1,1,4.09863,0,2,0,0,0
1,4143,,1,1,23,1,1,3.9369862,1,2,0,0,0
1,4493,,0,1,44,1,1,5.6575341,5,2,0,0,0
1,4917,,0,1,36,0,1,1.309589,0,2,0,0,0
1,2981,,1,1,27,1,1,5,2,2,0,0,0
1,517,127,1,1,41,1,1,12.821918,5,2,1,1,0
1,1669,,1,1,38,0,1,5,0,1,0,0,0
1,3800,,1,1,30,1,1,3,0,1,0,0,0
1,2128,,0,1,22,0,1,1.4931507,0,1,0,0,0
1,6037,,0,1,38,0,1,2,0,2,0,0,0
1,4134,,1,1,31,1,1,2.3287671,0,1,0,0,0
1,614,,1,1,49,0,1,7,2,1,0,0,0
1,4317,,0,1,35,1,1,5,2,3,0,0,0
1,5865,,0,1,36,0,1,2,1,1,0,0,0
1,4688,,0,1,45,0,0,4,0,1,0,0,0
1,4861,,0,1,34,0,1,3,0,1,0,0,0
1,1568,,0,1,26,0,1,4,0,5,0,0,0
1,4242,,1,1,46,0,0,1.4931507,0,1,0,0,0
1,4597,,0,1,27,0,1,2,0,2,0,0,0
1,5349,,0,1,55,0,0,3,0,1,0,0,0
1,4602,,0,1,28,0,0,6,0,3,0,0,0
1,2987,,0,1,38,0,1,7.531507,0,3,0,0,0
1,2348,353,0,1,48,0,1,4,2,1,1,0,1
1,2300,1579,1,1,41,1,1,4.2712331,2,3,1,0,1
1,1609,,1,1,30,0,1,5,0,5,0,0,0
1,4465,,0,1,28,1,1,5,0,6,0,0,0
1,4716,,0,1,27,0,1,4,0,2,0,0,0
1,5381,,1,1,34,1,1,5,0,1,0,0,0
1,3819,372,1,1,32,1,1,4,2,1,1,0,1
1,4276,,1,1,26,0,1,5,0,1,0,0,0
1,2334,,0,1,39,0,1,7,0,2,0,0,0
1,5655,,0,1,22,0,0,3.4931507,0,3,0,0,0
1,1735,,1,1,43,0,1,7,0,1,0,0,0
1,3931,,1,1,39,1,1,3,0,2,0,0,0
1,1446,,0,1,43,0,1,2,0,1,0,0,0
1,1814,,1,1,24,1,1,1.4931507,0,1,0,0,0
1,4994,,0,1,35,0,1,5,0,2,0,0,0
1,1825,,1,1,54,0,1,3,0,2,0,0,0
1,4004,,0,1,47,0,0,3,1,1,0,0,0
1,5157,,0,1,27,0,1,5,0,1,0,0,0
1,4926,,0,1,30,0,0,3,0,3,0,0,0
1,5775,,1,1,37,0,1,1.4109589,0,1,0,0,0
1,6272,,0,1,27,0,0,2.4931507,0,1,0,0,0
1,3074,,0,1,31,0,1,2,1,4,0,0,0
1,2331,,1,1,57,0,0,5.2465754,0,1,0,0,0
1,4704,,1,1,38,0,1,7,0,1,0,0,0
1,1500,3688,0,1,21,0,1,6,0,3,1,1,0
1,3884,,0,1,28,0,1,7,0,1,0,0,0
1,2664,,1,1,25,0,0,1.0027397,0,1,0,0,0
1,1554,,1,1,31,1,1,9,0,1,0,0,0
1,1770,,1,1,30,0,1,1.8219178,0,1,0,0,0
1,5205,,0,1,47,1,1,3,0,2,0,0,0
1,2679,,0,1,30,0,1,10,0,1,0,0,0
1,3952,,1,1,27,1,1,1.0027397,0,1,0,0,0
